Wavelength (nm),iXon 897 EMCCD (Andor),ZYLA-4.2P sCMOS (Andor),Sona-2BV11 sCMOS (Andor)
300,0.111150493,0.055,0.4411
301,0.112529605,0.05725,0.442198
302,0.113908716,0.0595,0.443296
303,0.115287828,0.06175,0.444394
304,0.11666694,0.064,0.445492
305,0.118046051,0.06625,0.44659
306,0.119425163,0.0685,0.447688
307,0.120804275,0.07075,0.448786
308,0.122183386,0.073,0.449884
309,0.123562498,0.07525,0.450982
310,0.12494161,0.0775,0.45208
311,0.126693926,0.07975,0.453178
312,0.128446243,0.082,0.454276
313,0.130198559,0.08425,0.455374
314,0.131950876,0.0865,0.456472
315,0.133703193,0.08875,0.45757
316,0.135455509,0.091,0.458668
317,0.137207826,0.09325,0.459766
318,0.138960142,0.0955,0.460864
319,0.140712459,0.09775,0.461962
320,0.142464775,0.1,0.46306
321,0.14458909,0.1025,0.464158
322,0.146713404,0.105,0.465256
323,0.148837719,0.1075,0.466354
324,0.150962033,0.11,0.467452
325,0.153086348,0.1125,0.46855
326,0.155210662,0.115,0.469648
327,0.157334977,0.1175,0.470746
328,0.159459291,0.12,0.471844
329,0.161583606,0.1225,0.472942
330,0.16370792,0.125,0.47404
331,0.166507948,0.1275,0.475138
332,0.169307976,0.13,0.476236
333,0.172108004,0.1325,0.477334
334,0.174908032,0.135,0.478432
335,0.17770806,0.1375,0.47953
336,0.180508088,0.14,0.480628
337,0.183308116,0.1425,0.481726
338,0.186108143,0.145,0.482824
339,0.188908171,0.1475,0.483922
340,0.191708199,0.15,0.48502
341,0.194785532,0.1535,0.486118
342,0.197862865,0.157,0.487216
343,0.200940198,0.1605,0.488314
344,0.204017531,0.164,0.489412
345,0.207094864,0.1675,0.49051
346,0.210172197,0.171,0.491608
347,0.21324953,0.1745,0.492706
348,0.216326863,0.178,0.493804
349,0.219404196,0.1815,0.494902
350,0.222481529,0.185,0.496
351,0.22558776,0.1885,0.500086
352,0.228693991,0.192,0.504172
353,0.231800222,0.1955,0.508258
354,0.234906453,0.199,0.512344
355,0.238012684,0.2025,0.51643
356,0.241118915,0.206,0.520516
357,0.244225146,0.2095,0.524602
358,0.247331377,0.213,0.528688
359,0.250437608,0.2165,0.532774
360,0.253543839,0.22,0.53686
361,0.259040612,0.22425,0.540946
362,0.264537385,0.2285,0.545032
363,0.270034158,0.23275,0.549118
364,0.275530931,0.237,0.553204
365,0.281027704,0.24125,0.55729
366,0.286524477,0.2455,0.561376
367,0.29202125,0.24975,0.565462
368,0.297518023,0.254,0.569548
369,0.303014796,0.25825,0.573634
370,0.308511569,0.2625,0.57772
371,0.317111487,0.26675,0.581806
372,0.325711406,0.271,0.585892
373,0.334311325,0.27525,0.589978
374,0.342911244,0.2795,0.594064
375,0.351511163,0.28375,0.59815
376,0.360111082,0.288,0.602236
377,0.368711001,0.29225,0.606322
378,0.37731092,0.2965,0.610408
379,0.385910839,0.30075,0.614494
380,0.394510758,0.305,0.61858
381,0.401963371,0.3095,0.622666
382,0.409415984,0.314,0.626752
383,0.416868598,0.3185,0.630838
384,0.424321211,0.323,0.634924
385,0.431773824,0.3275,0.63901
386,0.439226437,0.332,0.643096
387,0.446679051,0.3365,0.647182
388,0.454131664,0.341,0.651268
389,0.461584277,0.3455,0.655354
390,0.46903689,0.35,0.65944
391,0.476459368,0.3545,0.663526
392,0.483881845,0.359,0.667612
393,0.491304323,0.3635,0.671698
394,0.4987268,0.368,0.675784
395,0.506149278,0.3725,0.67987
396,0.513571756,0.377,0.683956
397,0.520994233,0.3815,0.688042
398,0.528416711,0.386,0.692128
399,0.535839188,0.3905,0.696214
400,0.543261666,0.395,0.7003
401,0.550610978,0.39925,0.70357
402,0.55796029,0.4035,0.70684
403,0.565309602,0.40775,0.71011
404,0.572658913,0.412,0.71338
405,0.580008225,0.41625,0.71665
406,0.587357537,0.4205,0.71992
407,0.594706849,0.42475,0.72319
408,0.602056161,0.429,0.72646
409,0.609405473,0.43325,0.72973
410,0.616754785,0.4375,0.733
411,0.621575839,0.44175,0.73627
412,0.626396892,0.446,0.73954
413,0.631217945,0.45025,0.74281
414,0.636038999,0.4545,0.74608
415,0.640860052,0.45875,0.74935
416,0.645681106,0.463,0.75262
417,0.650502159,0.46725,0.75589
418,0.655323212,0.4715,0.75916
419,0.660144266,0.47575,0.76243
420,0.664965319,0.48,0.7657
421,0.669436518,0.48475,0.76897
422,0.673907716,0.4895,0.77224
423,0.678378915,0.49425,0.77551
424,0.682850113,0.499,0.77878
425,0.687321312,0.50375,0.78205
426,0.69179251,0.5085,0.78532
427,0.696263709,0.51325,0.78859
428,0.700734907,0.518,0.79186
429,0.705206106,0.52275,0.79513
430,0.709677304,0.5275,0.7984
431,0.713397142,0.53225,0.80167
432,0.71711698,0.537,0.80494
433,0.720836818,0.54175,0.80821
434,0.724556656,0.5465,0.81148
435,0.728276494,0.55125,0.81475
436,0.731996332,0.556,0.81802
437,0.73571617,0.56075,0.82129
438,0.739436008,0.5655,0.82456
439,0.743155846,0.57025,0.82783
440,0.746875684,0.575,0.8311
441,0.750779378,0.5795,0.83437
442,0.754683072,0.584,0.83764
443,0.758586766,0.5885,0.84091
444,0.76249046,0.593,0.84418
445,0.766394154,0.5975,0.84745
446,0.770297848,0.602,0.85072
447,0.774201542,0.6065,0.85399
448,0.778105237,0.611,0.85726
449,0.782008931,0.6155,0.86053
450,0.785912625,0.62,0.8638
451,0.789333033,0.6245,0.8649
452,0.792753441,0.629,0.866
453,0.79617385,0.6335,0.8671
454,0.799594258,0.638,0.8682
455,0.803014666,0.6425,0.8693
456,0.806435075,0.647,0.8704
457,0.809855483,0.6515,0.8715
458,0.813275891,0.656,0.8726
