Wavelength (nm),Andor EMCCD
300,0.111150493
301,0.112529605
302,0.113908716
303,0.115287828
304,0.11666694
305,0.118046051
306,0.119425163
307,0.120804275
308,0.122183386
309,0.123562498
310,0.12494161
311,0.126693926
312,0.128446243
313,0.130198559
314,0.131950876
315,0.133703193
316,0.135455509
317,0.137207826
318,0.138960142
319,0.140712459
320,0.142464775
321,0.14458909
322,0.146713404
323,0.148837719
324,0.150962033
325,0.153086348
326,0.155210662
327,0.157334977
328,0.159459291
329,0.161583606
330,0.16370792
331,0.166507948
332,0.169307976
333,0.172108004
334,0.174908032
335,0.17770806
336,0.180508088
337,0.183308116
338,0.186108143
339,0.188908171
340,0.191708199
341,0.194785532
342,0.197862865
343,0.200940198
344,0.204017531
345,0.207094864
346,0.210172197
347,0.21324953
348,0.216326863
349,0.219404196
350,0.222481529
351,0.22558776
352,0.228693991
353,0.231800222
354,0.234906453
355,0.238012684
356,0.241118915
357,0.244225146
358,0.247331377
359,0.250437608
360,0.253543839
361,0.259040612
362,0.264537385
363,0.270034158
364,0.275530931
365,0.281027704
366,0.286524477
367,0.29202125
368,0.297518023
369,0.303014796
370,0.308511569
371,0.317111487
372,0.325711406
373,0.334311325
374,0.342911244
375,0.351511163
376,0.360111082
377,0.368711001
378,0.37731092
379,0.385910839
380,0.394510758
381,0.401963371
382,0.409415984
383,0.416868598
384,0.424321211
385,0.431773824
386,0.439226437
387,0.446679051
388,0.454131664
389,0.461584277
390,0.46903689
391,0.476459368
392,0.483881845
393,0.491304323
394,0.4987268
395,0.506149278
396,0.513571756
397,0.520994233
398,0.528416711
399,0.535839188
400,0.543261666
401,0.550610978
402,0.55796029
403,0.565309602
404,0.572658913
405,0.580008225
406,0.587357537
407,0.594706849
408,0.602056161
409,0.609405473
410,0.616754785
411,0.621575839
412,0.626396892
413,0.631217945
414,0.636038999
415,0.640860052
416,0.645681106
417,0.650502159
418,0.655323212
419,0.660144266
420,0.664965319
421,0.669436518
422,0.673907716
423,0.678378915
424,0.682850113
425,0.687321312
426,0.69179251
427,0.696263709
428,0.700734907
429,0.705206106
430,0.709677304
431,0.713397142
432,0.71711698
433,0.720836818
434,0.724556656
435,0.728276494
436,0.731996332
437,0.73571617
438,0.739436008
439,0.743155846
440,0.746875684
441,0.750779378
442,0.754683072
443,0.758586766
444,0.76249046
445,0.766394154
446,0.770297848
447,0.774201542
448,0.778105237
449,0.782008931
450,0.785912625
451,0.789333033
452,0.792753441
453,0.79617385
454,0.799594258
455,0.803014666
456,0.806435075
457,0.809855483
458,0.813275891
459,0.816696299
460,0.820116708
461,0.823433218
462,0.826749727
463,0.830066237
464,0.833382747
465,0.836699256
466,0.840015766
467,0.843332276
468,0.846648786
469,0.849965295
470,0.853281805
471,0.856242936
472,0.859204068
473,0.862165199
474,0.86512633
475,0.868087462
476,0.871048593
477,0.874009724
478,0.876970856
479,0.879931987
480,0.882893119
481,0.885406617
482,0.887920116
483,0.890433614
484,0.892947113
485,0.895460611
486,0.89797411
487,0.900487608
488,0.903001107
489,0.905514606
490,0.908028104
491,0.910011623
492,0.911995142
493,0.913978661
494,0.91596218
495,0.9179457
496,0.919929219
497,0.921912738
498,0.923896257
499,0.925879776
500,0.927863295
501,0.92935984
502,0.930856385
503,0.93235293
504,0.933849474
505,0.935346019
506,0.936842564
507,0.938339109
508,0.939835654
509,0.941332199
510,0.942828744
511,0.944009264
512,0.945189784
513,0.946370304
514,0.947550825
515,0.948731345
516,0.949911865
517,0.951092385
518,0.952272906
519,0.953453426
520,0.954633946
521,0.955368077
522,0.956102209
523,0.95683634
524,0.957570471
525,0.958304603
526,0.959038734
527,0.959772865
528,0.960506997
529,0.961241128
530,0.961975259
531,0.962436396
532,0.962897532
533,0.963358669
534,0.963819805
535,0.964280942
536,0.964742079
537,0.965203215
538,0.965664352
539,0.966125488
540,0.966586625
541,0.96681042
542,0.967034215
543,0.96725801
544,0.967481804
545,0.967705599
546,0.967929394
547,0.968153189
548,0.968376984
549,0.968600779
550,0.968824573
551,0.968981366
552,0.96913816
553,0.969294953
554,0.969451746
555,0.969608539
556,0.969765332
557,0.969922125
558,0.970078918
559,0.970235711
560,0.970392504
561,0.970346371
562,0.970300238
563,0.970254104
564,0.970207971
565,0.970161837
566,0.970115704
567,0.970069571
568,0.970023437
569,0.969977304
570,0.969931171
571,0.969896768
572,0.969862365
573,0.969827962
574,0.969793559
575,0.969759156
576,0.969724753
577,0.96969035
578,0.969655947
579,0.969621544
580,0.969587141
581,0.969414984
582,0.969242828
583,0.969070671
584,0.968898515
585,0.968726358
586,0.968554202
587,0.968382045
588,0.968209889
589,0.968037732
590,0.967865576
591,0.967638684
592,0.967411791
593,0.967184899
594,0.966958007
595,0.966731115
596,0.966504223
597,0.966277331
598,0.966050439
599,0.965823546
600,0.965596654
601,0.965246805
602,0.964896957
603,0.964547108
604,0.964197259
605,0.96384741
606,0.963497562
607,0.963147713
608,0.962797864
609,0.962448015
610,0.962098167
611,0.961676993
612,0.96125582
613,0.960834647
614,0.960413474
615,0.9599923
616,0.959571127
617,0.959149954
618,0.958728781
619,0.958307608
620,0.957886434
621,0.957417305
622,0.956948176
623,0.956479047
624,0.956009917
625,0.955540788
626,0.955071659
627,0.95460253
628,0.9541334
629,0.953664271
630,0.953195142
631,0.952671295
632,0.952147449
633,0.951623602
634,0.951099756
635,0.95057591
636,0.950052063
637,0.949528217
638,0.94900437
639,0.948480524
640,0.947956677
641,0.947303076
642,0.946649475
643,0.945995874
644,0.945342273
645,0.944688672
646,0.944035071
647,0.94338147
648,0.942727868
649,0.942074267
650,0.941420666
651,0.940716671
652,0.940012675
653,0.939308679
654,0.938604684
655,0.937900688
656,0.937196693
657,0.936492697
658,0.935788701
659,0.935084706
660,0.93438071
661,0.933536529
662,0.932692347
663,0.931848166
664,0.931003984
665,0.930159803
666,0.929315622
667,0.92847144
668,0.927627259
669,0.926783077
670,0.925938896
671,0.925049191
672,0.924159485
673,0.92326978
674,0.922380075
675,0.92149037
676,0.920600665
677,0.91971096
678,0.918821254
679,0.917931549
680,0.917041844
681,0.916095587
682,0.915149329
683,0.914203072
684,0.913256815
685,0.912310557
686,0.9113643
687,0.910418043
688,0.909471785
689,0.908525528
690,0.907579271
691,0.906487298
692,0.905395325
693,0.904303352
694,0.90321138
695,0.902119407
696,0.901027434
697,0.899935461
698,0.898843489
699,0.897751516
700,0.896659543
701,0.895454441
702,0.89424934
703,0.893044238
704,0.891839136
705,0.890634034
706,0.889428933
707,0.888223831
708,0.887018729
709,0.885813628
710,0.884608526
711,0.883242936
712,0.881877347
713,0.880511758
714,0.879146168
715,0.877780579
716,0.876414989
717,0.8750494
718,0.873683811
719,0.872318221
720,0.870952632
721,0.869496672
722,0.868040713
723,0.866584753
724,0.865128793
725,0.863672834
726,0.862216874
727,0.860760915
728,0.859304955
729,0.857848996
730,0.856393036
731,0.854838067
732,0.853283098
733,0.851728129
734,0.85017316
735,0.848618191
736,0.847063222
737,0.845508253
738,0.843953284
739,0.842398315
740,0.840843346
741,0.839107003
742,0.837370659
743,0.835634316
744,0.833897972
745,0.832161629
746,0.830425285
747,0.828688942
748,0.826952598
749,0.825216255
750,0.823479911
751,0.821587415
752,0.819694919
753,0.817802423
754,0.815909926
755,0.81401743
756,0.812124934
757,0.810232438
758,0.808339942
759,0.806447445
760,0.804554949
761,0.802473671
762,0.800392392
763,0.798311114
764,0.796229835
765,0.794148557
766,0.792067278
767,0.789986
768,0.787904721
769,0.785823443
770,0.783742165
771,0.781544075
772,0.779345985
773,0.777147895
774,0.774949806
775,0.772751716
776,0.770553626
777,0.768355537
778,0.766157447
779,0.763959357
780,0.761761267
781,0.759442666
782,0.757124064
783,0.754805462
784,0.75248686
785,0.750168259
786,0.747849657
787,0.745531055
788,0.743212453
789,0.740893852
790,0.73857525
791,0.736083876
792,0.733592502
793,0.731101128
794,0.728609754
795,0.72611838
796,0.723627006
797,0.721135632
798,0.718644258
799,0.716152884
800,0.71366151
801,0.711013343
802,0.708365176
803,0.705717009
804,0.703068842
805,0.700420674
806,0.697772507
807,0.69512434
808,0.692476173
809,0.689828006
810,0.687179839
811,0.684361978
812,0.681544118
813,0.678726257
814,0.675908397
815,0.673090536
816,0.670272676
817,0.667454815
818,0.664636955
819,0.661819094
