Wavelength (nm),Sona-2BV11 sCMOS (Andor),Wavelength (nm),LinearInterp
200,29.12,300,0.4411
240,55.92,301,0.442198
300,44.11,302,0.443296
350,49.6,303,0.444394
400,70.03,304,0.445492
450,86.38,305,0.44659
500,91.88,306,0.447688
570,94.76,307,0.448786
600,92.48,308,0.449884
650,93.39,309,0.450982
700,84.06,310,0.45208
750,72.73,311,0.453178
800,64.28,312,0.454276
850,50.62,313,0.455374
900,34.65,314,0.456472
950,22.42,315,0.45757
1000,10.19,316,0.458668
,,317,0.459766
,,318,0.460864
,,319,0.461962
,,320,0.46306
,,321,0.464158
,,322,0.465256
,,323,0.466354
,,324,0.467452
,,325,0.46855
,,326,0.469648
,,327,0.470746
,,328,0.471844
,,329,0.472942
,,330,0.47404
,,331,0.475138
,,332,0.476236
,,333,0.477334
,,334,0.478432
,,335,0.47953
,,336,0.480628
,,337,0.481726
,,338,0.482824
,,339,0.483922
,,340,0.48502
,,341,0.486118
,,342,0.487216
,,343,0.488314
,,344,0.489412
,,345,0.49051
,,346,0.491608
,,347,0.492706
,,348,0.493804
,,349,0.494902
,,350,0.496
,,351,0.500086
,,352,0.504172
,,353,0.508258
,,354,0.512344
,,355,0.51643
,,356,0.520516
,,357,0.524602
,,358,0.528688
,,359,0.532774
,,360,0.53686
,,361,0.540946
,,362,0.545032
,,363,0.549118
,,364,0.553204
,,365,0.55729
,,366,0.561376
,,367,0.565462
,,368,0.569548
,,369,0.573634
,,370,0.57772
,,371,0.581806
,,372,0.585892
,,373,0.589978
,,374,0.594064
,,375,0.59815
,,376,0.602236
,,377,0.606322
,,378,0.610408
,,379,0.614494
,,380,0.61858
,,381,0.622666
,,382,0.626752
,,383,0.630838
,,384,0.634924
,,385,0.63901
,,386,0.643096
,,387,0.647182
,,388,0.651268
,,389,0.655354
,,390,0.65944
,,391,0.663526
,,392,0.667612
,,393,0.671698
,,394,0.675784
,,395,0.67987
,,396,0.683956
,,397,0.688042
,,398,0.692128
,,399,0.696214
,,400,0.7003
,,401,0.70357
,,402,0.70684
,,403,0.71011
,,404,0.71338
,,405,0.71665
,,406,0.71992
,,407,0.72319
,,408,0.72646
,,409,0.72973
,,410,0.733
,,411,0.73627
,,412,0.73954
,,413,0.74281
,,414,0.74608
,,415,0.74935
,,416,0.75262
,,417,0.75589
,,418,0.75916
,,419,0.76243
,,420,0.7657
,,421,0.76897
,,422,0.77224
,,423,0.77551
,,424,0.77878
,,425,0.78205
,,426,0.78532
,,427,0.78859
,,428,0.79186
,,429,0.79513
,,430,0.7984
,,431,0.80167
,,432,0.80494
,,433,0.80821
,,434,0.81148
,,435,0.81475
,,436,0.81802
,,437,0.82129
,,438,0.82456
,,439,0.82783
,,440,0.8311
,,441,0.83437
,,442,0.83764
,,443,0.84091
,,444,0.84418
,,445,0.84745
,,446,0.85072
,,447,0.85399
,,448,0.85726
,,449,0.86053
,,450,0.8638
,,451,0.8649
,,452,0.866
,,453,0.8671
,,454,0.8682
,,455,0.8693
,,456,0.8704
,,457,0.8715
,,458,0.8726
,,459,0.8737
,,460,0.8748
,,461,0.8759
,,462,0.877
,,463,0.8781
,,464,0.8792
,,465,0.8803
,,466,0.8814
,,467,0.8825
,,468,0.8836
,,469,0.8847
,,470,0.8858
,,471,0.8869
,,472,0.888
,,473,0.8891
,,474,0.8902
,,475,0.8913
,,476,0.8924
,,477,0.8935
,,478,0.8946
,,479,0.8957
,,480,0.8968
,,481,0.8979
,,482,0.899
,,483,0.9001
,,484,0.9012
,,485,0.9023
,,486,0.9034
,,487,0.9045
,,488,0.9056
,,489,0.9067
,,490,0.9078
,,491,0.9089
,,492,0.91
,,493,0.9111
,,494,0.9122
,,495,0.9133
,,496,0.9144
,,497,0.9155
,,498,0.9166
,,499,0.9177
,,500,0.9188
,,501,0.919211429
,,502,0.919622857
,,503,0.920034286
,,504,0.920445714
,,505,0.920857143
,,506,0.921268571
,,507,0.92168
,,508,0.922091429
,,509,0.922502857
,,510,0.922914286
,,511,0.923325714
,,512,0.923737143
,,513,0.924148571
,,514,0.92456
,,515,0.924971429
,,516,0.925382857
,,517,0.925794286
,,518,0.926205714
,,519,0.926617143
,,520,0.927028571
,,521,0.92744
,,522,0.927851429
,,523,0.928262857
,,524,0.928674286
,,525,0.929085714
,,526,0.929497143
,,527,0.929908571
,,528,0.93032
,,529,0.930731429
,,530,0.931142857
,,531,0.931554286
,,532,0.931965714
,,533,0.932377143
,,534,0.932788571
,,535,0.9332
,,536,0.933611429
,,537,0.934022857
,,538,0.934434286
,,539,0.934845714
,,540,0.935257143
,,541,0.935668571
,,542,0.93608
,,543,0.936491429
,,544,0.936902857
,,545,0.937314286
,,546,0.937725714
,,547,0.938137143
,,548,0.938548571
,,549,0.93896
,,550,0.939371429
,,551,0.939782857
,,552,0.940194286
,,553,0.940605714
,,554,0.941017143
,,555,0.941428571
,,556,0.94184
,,557,0.942251429
,,558,0.942662857
,,559,0.943074286
,,560,0.943485714
,,561,0.943897143
,,562,0.944308571
,,563,0.94472
,,564,0.945131429
,,565,0.945542857
,,566,0.945954286
,,567,0.946365714
,,568,0.946777143
,,569,0.947188571
,,570,0.9476
,,571,0.94684
,,572,0.94608
,,573,0.94532
,,574,0.94456
,,575,0.9438
,,576,0.94304
,,577,0.94228
,,578,0.94152
,,579,0.94076
,,580,0.94
,,581,0.93924
,,582,0.93848
,,583,0.93772
,,584,0.93696
,,585,0.9362
,,586,0.93544
,,587,0.93468
,,588,0.93392
,,589,0.93316
,,590,0.9324
,,591,0.93164
,,592,0.93088
,,593,0.93012
,,594,0.92936
,,595,0.9286
,,596,0.92784
,,597,0.92708
,,598,0.92632
,,599,0.92556
,,600,0.9248
,,601,0.924982
,,602,0.925164
,,603,0.925346
,,604,0.925528
,,605,0.92571
,,606,0.925892
,,607,0.926074
,,608,0.926256
,,609,0.926438
,,610,0.92662
,,611,0.926802
,,612,0.926984
,,613,0.927166
,,614,0.927348
,,615,0.92753
,,616,0.927712
,,617,0.927894
,,618,0.928076
,,619,0.928258
,,620,0.92844
,,621,0.928622
,,622,0.928804
,,623,0.928986
,,624,0.929168
,,625,0.92935
,,626,0.929532
,,627,0.929714
,,628,0.929896
,,629,0.930078
,,630,0.93026
,,631,0.930442
,,632,0.930624
,,633,0.930806
,,634,0.930988
,,635,0.93117
,,636,0.931352
,,637,0.931534
,,638,0.931716
,,639,0.931898
,,640,0.93208
,,641,0.932262
,,642,0.932444
,,643,0.932626
,,644,0.932808
,,645,0.93299
,,646,0.933172
,,647,0.933354
,,648,0.933536
,,649,0.933718
,,650,0.9339
,,651,0.932034
,,652,0.930168
,,653,0.928302
,,654,0.926436
,,655,0.92457
,,656,0.922704
,,657,0.920838
,,658,0.918972
,,659,0.917106
,,660,0.91524
,,661,0.913374
,,662,0.911508
,,663,0.909642
,,664,0.907776
,,665,0.90591
,,666,0.904044
,,667,0.902178
,,668,0.900312
,,669,0.898446
,,670,0.89658
,,671,0.894714
,,672,0.892848
,,673,0.890982
,,674,0.889116
,,675,0.88725
,,676,0.885384
,,677,0.883518
,,678,0.881652
,,679,0.879786
,,680,0.87792
,,681,0.876054
,,682,0.874188
,,683,0.872322
,,684,0.870456
,,685,0.86859
,,686,0.866724
,,687,0.864858
,,688,0.862992
,,689,0.861126
,,690,0.85926
,,691,0.857394
,,692,0.855528
,,693,0.853662
,,694,0.851796
,,695,0.84993
,,696,0.848064
,,697,0.846198
,,698,0.844332
,,699,0.842466
,,700,0.8406
,,701,0.838334
,,702,0.836068
,,703,0.833802
,,704,0.831536
,,705,0.82927
,,706,0.827004
,,707,0.824738
,,708,0.822472
,,709,0.820206
,,710,0.81794
,,711,0.815674
,,712,0.813408
,,713,0.811142
,,714,0.808876
,,715,0.80661
,,716,0.804344
,,717,0.802078
,,718,0.799812
,,719,0.797546
,,720,0.79528
,,721,0.793014
,,722,0.790748
,,723,0.788482
,,724,0.786216
,,725,0.78395
,,726,0.781684
,,727,0.779418
,,728,0.777152
,,729,0.774886
,,730,0.77262
,,731,0.770354
,,732,0.768088
,,733,0.765822
,,734,0.763556
,,735,0.76129
,,736,0.759024
,,737,0.756758
,,738,0.754492
,,739,0.752226
,,740,0.74996
,,741,0.747694
,,742,0.745428
,,743,0.743162
,,744,0.740896
,,745,0.73863
,,746,0.736364
,,747,0.734098
,,748,0.731832
,,749,0.729566
,,750,0.7273
,,751,0.72561
,,752,0.72392
,,753,0.72223
,,754,0.72054
,,755,0.71885
,,756,0.71716
,,757,0.71547
,,758,0.71378
,,759,0.71209
,,760,0.7104
,,761,0.70871
,,762,0.70702
,,763,0.70533
,,764,0.70364
,,765,0.70195
,,766,0.70026
,,767,0.69857
,,768,0.69688
,,769,0.69519
,,770,0.6935
,,771,0.69181
,,772,0.69012
,,773,0.68843
,,774,0.68674
,,775,0.68505
,,776,0.68336
,,777,0.68167
,,778,0.67998
,,779,0.67829
,,780,0.6766
,,781,0.67491
,,782,0.67322
,,783,0.67153
,,784,0.66984
,,785,0.66815
,,786,0.66646
,,787,0.66477
,,788,0.66308
,,789,0.66139
,,790,0.6597
,,791,0.65801
,,792,0.65632
,,793,0.65463
,,794,0.65294
,,795,0.65125
,,796,0.64956
,,797,0.64787
,,798,0.64618
,,799,0.64449
,,800,0.6428
,,801,0.640068
,,802,0.637336
,,803,0.634604
,,804,0.631872
,,805,0.62914
,,806,0.626408
,,807,0.623676
,,808,0.620944
,,809,0.618212
,,810,0.61548
,,811,0.612748
,,812,0.610016
,,813,0.607284
,,814,0.604552
,,815,0.60182
,,816,0.599088
,,817,0.596356
,,818,0.593624
,,819,0.590892
,,820,0.58816
,,821,0.585428
,,822,0.582696
,,823,0.579964
,,824,0.577232
,,825,0.5745
,,826,0.571768
,,827,0.569036
,,828,0.566304
,,829,0.563572
,,830,0.56084
,,831,0.558108
,,832,0.555376
,,833,0.552644
,,834,0.549912
,,835,0.54718
,,836,0.544448
,,837,0.541716
,,838,0.538984
,,839,0.536252
,,840,0.53352
,,841,0.530788
,,842,0.528056
,,843,0.525324
,,844,0.522592
,,845,0.51986
,,846,0.517128
,,847,0.514396
,,848,0.511664
,,849,0.508932
,,850,0.5062
,,851,0.503006
,,852,0.499812
,,853,0.496618
,,854,0.493424
,,855,0.49023
,,856,0.487036
,,857,0.483842
,,858,0.480648
,,859,0.477454
,,860,0.47426
,,861,0.471066
,,862,0.467872
,,863,0.464678
,,864,0.461484
,,865,0.45829
,,866,0.455096
,,867,0.451902
,,868,0.448708
,,869,0.445514
,,870,0.44232
,,871,0.439126
,,872,0.435932
,,873,0.432738
,,874,0.429544
,,875,0.42635
,,876,0.423156
,,877,0.419962
,,878,0.416768
,,879,0.413574
,,880,0.41038
,,881,0.407186
,,882,0.403992
,,883,0.400798
,,884,0.397604
,,885,0.39441
,,886,0.391216
,,887,0.388022
,,888,0.384828
,,889,0.381634
,,890,0.37844
,,891,0.375246
,,892,0.372052
,,893,0.368858
,,894,0.365664
,,895,0.36247
,,896,0.359276
,,897,0.356082
,,898,0.352888
,,899,0.349694
,,900,0.3465
,,901,0.344054
,,902,0.341608
,,903,0.339162
,,904,0.336716
,,905,0.33427
,,906,0.331824
,,907,0.329378
,,908,0.326932
,,909,0.324486
,,910,0.32204
,,911,0.319594
,,912,0.317148
,,913,0.314702
,,914,0.312256
,,915,0.30981
,,916,0.307364
,,917,0.304918
,,918,0.302472
,,919,0.300026
,,920,0.29758
,,921,0.295134
,,922,0.292688
,,923,0.290242
,,924,0.287796
,,925,0.28535
,,926,0.282904
,,927,0.280458
,,928,0.278012
,,929,0.275566
,,930,0.27312
,,931,0.270674
,,932,0.268228
,,933,0.265782
,,934,0.263336
,,935,0.26089
,,936,0.258444
,,937,0.255998
,,938,0.253552
,,939,0.251106
,,940,0.24866
,,941,0.246214
,,942,0.243768
,,943,0.241322
,,944,0.238876
,,945,0.23643
,,946,0.233984
,,947,0.231538
,,948,0.229092
,,949,0.226646
,,950,0.2242
,,951,0.221754
,,952,0.219308
,,953,0.216862
,,954,0.214416
,,955,0.21197
,,956,0.209524
,,957,0.207078
,,958,0.204632
,,959,0.202186
,,960,0.19974
,,961,0.197294
,,962,0.194848
,,963,0.192402
,,964,0.189956
,,965,0.18751
,,966,0.185064
,,967,0.182618
,,968,0.180172
,,969,0.177726
,,970,0.17528
,,971,0.172834
,,972,0.170388
,,973,0.167942
,,974,0.165496
,,975,0.16305
,,976,0.160604
,,977,0.158158
,,978,0.155712
,,979,0.153266
,,980,0.15082
,,981,0.148374
,,982,0.145928
,,983,0.143482
,,984,0.141036
,,985,0.13859
,,986,0.136144
,,987,0.133698
,,988,0.131252
,,989,0.128806
,,990,0.12636
,,991,0.123914
,,992,0.121468
,,993,0.119022
,,994,0.116576
,,995,0.11413
,,996,0.111684
,,997,0.109238
,,998,0.106792
,,999,0.104346
,,1000,0.1019
,,1001,0
,,1002,0
,,1003,0
,,1004,0
,,1005,0
,,1006,0
,,1007,0
,,1008,0
,,1009,0
,,1010,0
,,1011,0
,,1012,0
,,1013,0
,,1014,0
,,1015,0
,,1016,0
,,1017,0
,,1018,0
,,1019,0
,,1020,0
,,1021,0
,,1022,0
,,1023,0
,,1024,0
,,1025,0
,,1026,0
