Wavelength (nm),ZYLA-4.2P,Wavelength (nm),Linear Interp.
300,5.5,300,0.055
320,10,301,0.05725
340,15,302,0.0595
360,22,303,0.06175
380,30.5,304,0.064
400,39.5,305,0.06625
420,48,306,0.0685
440,57.5,307,0.07075
460,66.5,308,0.073
480,72.5,309,0.07525
500,77,310,0.0775
520,79.5,311,0.07975
540,81.2,312,0.082
560,82.2,313,0.08425
580,82.1,314,0.0865
600,81.6,315,0.08875
620,81,316,0.091
640,80,317,0.09325
660,78,318,0.0955
680,75,319,0.09775
700,72,320,0.1
720,68,321,0.1025
740,64,322,0.105
760,59,323,0.1075
780,54,324,0.11
800,48.5,325,0.1125
820,43.5,326,0.115
840,38,327,0.1175
860,32.5,328,0.12
880,27.5,329,0.1225
900,22.5,330,0.125
920,17.5,331,0.1275
940,13.5,332,0.13
960,10,333,0.1325
980,7,334,0.135
1000,4.5,335,0.1375
,,336,0.14
,,337,0.1425
,,338,0.145
,,339,0.1475
,,340,0.15
,,341,0.1535
,,342,0.157
,,343,0.1605
,,344,0.164
,,345,0.1675
,,346,0.171
,,347,0.1745
,,348,0.178
,,349,0.1815
,,350,0.185
,,351,0.1885
,,352,0.192
,,353,0.1955
,,354,0.199
,,355,0.2025
,,356,0.206
,,357,0.2095
,,358,0.213
,,359,0.2165
,,360,0.22
,,361,0.22425
,,362,0.2285
,,363,0.23275
,,364,0.237
,,365,0.24125
,,366,0.2455
,,367,0.24975
,,368,0.254
,,369,0.25825
,,370,0.2625
,,371,0.26675
,,372,0.271
,,373,0.27525
,,374,0.2795
,,375,0.28375
,,376,0.288
,,377,0.29225
,,378,0.2965
,,379,0.30075
,,380,0.305
,,381,0.3095
,,382,0.314
,,383,0.3185
,,384,0.323
,,385,0.3275
,,386,0.332
,,387,0.3365
,,388,0.341
,,389,0.3455
,,390,0.35
,,391,0.3545
,,392,0.359
,,393,0.3635
,,394,0.368
,,395,0.3725
,,396,0.377
,,397,0.3815
,,398,0.386
,,399,0.3905
,,400,0.395
,,401,0.39925
,,402,0.4035
,,403,0.40775
,,404,0.412
,,405,0.41625
,,406,0.4205
,,407,0.42475
,,408,0.429
,,409,0.43325
,,410,0.4375
,,411,0.44175
,,412,0.446
,,413,0.45025
,,414,0.4545
,,415,0.45875
,,416,0.463
,,417,0.46725
,,418,0.4715
,,419,0.47575
,,420,0.48
,,421,0.48475
,,422,0.4895
,,423,0.49425
,,424,0.499
,,425,0.50375
,,426,0.5085
,,427,0.51325
,,428,0.518
,,429,0.52275
,,430,0.5275
,,431,0.53225
,,432,0.537
,,433,0.54175
,,434,0.5465
,,435,0.55125
,,436,0.556
,,437,0.56075
,,438,0.5655
,,439,0.57025
,,440,0.575
,,441,0.5795
,,442,0.584
,,443,0.5885
,,444,0.593
,,445,0.5975
,,446,0.602
,,447,0.6065
,,448,0.611
,,449,0.6155
,,450,0.62
,,451,0.6245
,,452,0.629
,,453,0.6335
,,454,0.638
,,455,0.6425
,,456,0.647
,,457,0.6515
,,458,0.656
,,459,0.6605
,,460,0.665
,,461,0.668
,,462,0.671
,,463,0.674
,,464,0.677
,,465,0.68
,,466,0.683
,,467,0.686
,,468,0.689
,,469,0.692
,,470,0.695
,,471,0.698
,,472,0.701
,,473,0.704
,,474,0.707
,,475,0.71
,,476,0.713
,,477,0.716
,,478,0.719
,,479,0.722
,,480,0.725
,,481,0.72725
,,482,0.7295
,,483,0.73175
,,484,0.734
,,485,0.73625
,,486,0.7385
,,487,0.74075
,,488,0.743
,,489,0.74525
,,490,0.7475
,,491,0.74975
,,492,0.752
,,493,0.75425
,,494,0.7565
,,495,0.75875
,,496,0.761
,,497,0.76325
,,498,0.7655
,,499,0.76775
,,500,0.77
,,501,0.77125
,,502,0.7725
,,503,0.77375
,,504,0.775
,,505,0.77625
,,506,0.7775
,,507,0.77875
,,508,0.78
,,509,0.78125
,,510,0.7825
,,511,0.78375
,,512,0.785
,,513,0.78625
,,514,0.7875
,,515,0.78875
,,516,0.79
,,517,0.79125
,,518,0.7925
,,519,0.79375
,,520,0.795
,,521,0.79585
,,522,0.7967
,,523,0.79755
,,524,0.7984
,,525,0.79925
,,526,0.8001
,,527,0.80095
,,528,0.8018
,,529,0.80265
,,530,0.8035
,,531,0.80435
,,532,0.8052
,,533,0.80605
,,534,0.8069
,,535,0.80775
,,536,0.8086
,,537,0.80945
,,538,0.8103
,,539,0.81115
,,540,0.812
,,541,0.8125
,,542,0.813
,,543,0.8135
,,544,0.814
,,545,0.8145
,,546,0.815
,,547,0.8155
,,548,0.816
,,549,0.8165
,,550,0.817
,,551,0.8175
,,552,0.818
,,553,0.8185
,,554,0.819
,,555,0.8195
,,556,0.82
,,557,0.8205
,,558,0.821
,,559,0.8215
,,560,0.822
,,561,0.82195
,,562,0.8219
,,563,0.82185
,,564,0.8218
,,565,0.82175
,,566,0.8217
,,567,0.82165
,,568,0.8216
,,569,0.82155
,,570,0.8215
,,571,0.82145
,,572,0.8214
,,573,0.82135
,,574,0.8213
,,575,0.82125
,,576,0.8212
,,577,0.82115
,,578,0.8211
,,579,0.82105
,,580,0.821
,,581,0.82075
,,582,0.8205
,,583,0.82025
,,584,0.82
,,585,0.81975
,,586,0.8195
,,587,0.81925
,,588,0.819
,,589,0.81875
,,590,0.8185
,,591,0.81825
,,592,0.818
,,593,0.81775
,,594,0.8175
,,595,0.81725
,,596,0.817
,,597,0.81675
,,598,0.8165
,,599,0.81625
,,600,0.816
,,601,0.8157
,,602,0.8154
,,603,0.8151
,,604,0.8148
,,605,0.8145
,,606,0.8142
,,607,0.8139
,,608,0.8136
,,609,0.8133
,,610,0.813
,,611,0.8127
,,612,0.8124
,,613,0.8121
,,614,0.8118
,,615,0.8115
,,616,0.8112
,,617,0.8109
,,618,0.8106
,,619,0.8103
,,620,0.81
,,621,0.8095
,,622,0.809
,,623,0.8085
,,624,0.808
,,625,0.8075
,,626,0.807
,,627,0.8065
,,628,0.806
,,629,0.8055
,,630,0.805
,,631,0.8045
,,632,0.804
,,633,0.8035
,,634,0.803
,,635,0.8025
,,636,0.802
,,637,0.8015
,,638,0.801
,,639,0.8005
,,640,0.8
,,641,0.799
,,642,0.798
,,643,0.797
,,644,0.796
,,645,0.795
,,646,0.794
,,647,0.793
,,648,0.792
,,649,0.791
,,650,0.79
,,651,0.789
,,652,0.788
,,653,0.787
,,654,0.786
,,655,0.785
,,656,0.784
,,657,0.783
,,658,0.782
,,659,0.781
,,660,0.78
,,661,0.7785
,,662,0.777
,,663,0.7755
,,664,0.774
,,665,0.7725
,,666,0.771
,,667,0.7695
,,668,0.768
,,669,0.7665
,,670,0.765
,,671,0.7635
,,672,0.762
,,673,0.7605
,,674,0.759
,,675,0.7575
,,676,0.756
,,677,0.7545
,,678,0.753
,,679,0.7515
,,680,0.75
,,681,0.7485
,,682,0.747
,,683,0.7455
,,684,0.744
,,685,0.7425
,,686,0.741
,,687,0.7395
,,688,0.738
,,689,0.7365
,,690,0.735
,,691,0.7335
,,692,0.732
,,693,0.7305
,,694,0.729
,,695,0.7275
,,696,0.726
,,697,0.7245
,,698,0.723
,,699,0.7215
,,700,0.72
,,701,0.718
,,702,0.716
,,703,0.714
,,704,0.712
,,705,0.71
,,706,0.708
,,707,0.706
,,708,0.704
,,709,0.702
,,710,0.7
,,711,0.698
,,712,0.696
,,713,0.694
,,714,0.692
,,715,0.69
,,716,0.688
,,717,0.686
,,718,0.684
,,719,0.682
,,720,0.68
,,721,0.678
,,722,0.676
,,723,0.674
,,724,0.672
,,725,0.67
,,726,0.668
,,727,0.666
,,728,0.664
,,729,0.662
,,730,0.66
,,731,0.658
,,732,0.656
,,733,0.654
,,734,0.652
,,735,0.65
,,736,0.648
,,737,0.646
,,738,0.644
,,739,0.642
,,740,0.64
,,741,0.6375
,,742,0.635
,,743,0.6325
,,744,0.63
,,745,0.6275
,,746,0.625
,,747,0.6225
,,748,0.62
,,749,0.6175
,,750,0.615
,,751,0.6125
,,752,0.61
,,753,0.6075
,,754,0.605
,,755,0.6025
,,756,0.6
,,757,0.5975
,,758,0.595
,,759,0.5925
,,760,0.59
,,761,0.5875
,,762,0.585
,,763,0.5825
,,764,0.58
,,765,0.5775
,,766,0.575
,,767,0.5725
,,768,0.57
,,769,0.5675
,,770,0.565
,,771,0.5625
,,772,0.56
,,773,0.5575
,,774,0.555
,,775,0.5525
,,776,0.55
,,777,0.5475
,,778,0.545
,,779,0.5425
,,780,0.54
,,781,0.53725
,,782,0.5345
,,783,0.53175
,,784,0.529
,,785,0.52625
,,786,0.5235
,,787,0.52075
,,788,0.518
,,789,0.51525
,,790,0.5125
,,791,0.50975
,,792,0.507
,,793,0.50425
,,794,0.5015
,,795,0.49875
,,796,0.496
,,797,0.49325
,,798,0.4905
,,799,0.48775
,,800,0.485
,,801,0.4825
,,802,0.48
,,803,0.4775
,,804,0.475
,,805,0.4725
,,806,0.47
,,807,0.4675
,,808,0.465
,,809,0.4625
,,810,0.46
,,811,0.4575
,,812,0.455
,,813,0.4525
,,814,0.45
,,815,0.4475
,,816,0.445
,,817,0.4425
,,818,0.44
,,819,0.4375
,,820,0.435
,,821,0.43225
,,822,0.4295
,,823,0.42675
,,824,0.424
,,825,0.42125
,,826,0.4185
,,827,0.41575
,,828,0.413
,,829,0.41025
,,830,0.4075
,,831,0.40475
,,832,0.402
,,833,0.39925
,,834,0.3965
,,835,0.39375
,,836,0.391
,,837,0.38825
,,838,0.3855
,,839,0.38275
,,840,0.38
,,841,0.37725
,,842,0.3745
,,843,0.37175
,,844,0.369
,,845,0.36625
,,846,0.3635
,,847,0.36075
,,848,0.358
,,849,0.35525
,,850,0.3525
,,851,0.34975
,,852,0.347
,,853,0.34425
,,854,0.3415
,,855,0.33875
,,856,0.336
,,857,0.33325
,,858,0.3305
,,859,0.32775
,,860,0.325
,,861,0.3225
,,862,0.32
,,863,0.3175
,,864,0.315
,,865,0.3125
,,866,0.31
,,867,0.3075
,,868,0.305
,,869,0.3025
,,870,0.3
,,871,0.2975
,,872,0.295
,,873,0.2925
,,874,0.29
,,875,0.2875
,,876,0.285
,,877,0.2825
,,878,0.28
,,879,0.2775
,,880,0.275
,,881,0.2725
,,882,0.27
,,883,0.2675
,,884,0.265
,,885,0.2625
,,886,0.26
,,887,0.2575
,,888,0.255
,,889,0.2525
,,890,0.25
,,891,0.2475
,,892,0.245
,,893,0.2425
,,894,0.24
,,895,0.2375
,,896,0.235
,,897,0.2325
,,898,0.23
,,899,0.2275
,,900,0.225
,,901,0.2225
,,902,0.22
,,903,0.2175
,,904,0.215
,,905,0.2125
,,906,0.21
,,907,0.2075
,,908,0.205
,,909,0.2025
,,910,0.2
,,911,0.1975
,,912,0.195
,,913,0.1925
,,914,0.19
,,915,0.1875
,,916,0.185
,,917,0.1825
,,918,0.18
,,919,0.1775
,,920,0.175
,,921,0.173
,,922,0.171
,,923,0.169
,,924,0.167
,,925,0.165
,,926,0.163
,,927,0.161
,,928,0.159
,,929,0.157
,,930,0.155
,,931,0.153
,,932,0.151
,,933,0.149
,,934,0.147
,,935,0.145
,,936,0.143
,,937,0.141
,,938,0.139
,,939,0.137
,,940,0.135
,,941,0.13325
,,942,0.1315
,,943,0.12975
,,944,0.128
,,945,0.12625
,,946,0.1245
,,947,0.12275
,,948,0.121
,,949,0.11925
,,950,0.1175
,,951,0.11575
,,952,0.114
,,953,0.11225
,,954,0.1105
,,955,0.10875
,,956,0.107
,,957,0.10525
,,958,0.1035
,,959,0.10175
,,960,0.1
,,961,0.0985
,,962,0.097
,,963,0.0955
,,964,0.094
,,965,0.0925
,,966,0.091
,,967,0.0895
,,968,0.088
,,969,0.0865
,,970,0.085
,,971,0.0835
,,972,0.082
,,973,0.0805
,,974,0.079
,,975,0.0775
,,976,0.076
,,977,0.0745
,,978,0.073
,,979,0.0715
,,980,0.07
,,981,0.06875
,,982,0.0675
,,983,0.06625
,,984,0.065
,,985,0.06375
,,986,0.0625
,,987,0.06125
,,988,0.06
,,989,0.05875
,,990,0.0575
,,991,0.05625
,,992,0.055
,,993,0.05375
,,994,0.0525
,,995,0.05125
,,996,0.05
,,997,0.04875
,,998,0.0475
,,999,0.04625
,,1000,0.045
,,1001,0
,,1002,0
,,1003,0
,,1004,0
,,1005,0
,,1006,0
,,1007,0
,,1008,0
,,1009,0
,,1010,0
,,1011,0
,,1012,0
,,1013,0
,,1014,0
,,1015,0
,,1016,0
,,1017,0
,,1018,0
,,1019,0
,,1020,0
,,1021,0
,,1022,0
,,1023,0
,,1024,0
,,1025,0
,,1026,0
,,1027,0
,,1028,0
,,1029,0
,,1030,0
,,1031,0
,,1032,0
,,1033,0
,,1034,0
,,1035,0
,,1036,0
,,1037,0
,,1038,0
,,1039,0
,,1040,0
,,1041,0
,,1042,0
,,1043,0
,,1044,0
,,1045,0
,,1046,0
,,1047,0
,,1048,0
,,1049,0
,,1050,0
,,1051,0
,,1052,0
,,1053,0
,,1054,0
,,1055,0
,,1056,0
,,1057,0
,,1058,0
,,1059,0
,,1060,0
,,1061,0
,,1062,0
,,1063,0
,,1064,0
,,1065,0
,,1066,0
,,1067,0
,,1068,0
,,1069,0
,,1070,0
,,1071,0
,,1072,0
,,1073,0
,,1074,0
,,1075,0
,,1076,0
,,1077,0
,,1078,0
,,1079,0
,,1080,0
,,1081,0
,,1082,0
,,1083,0
,,1084,0
,,1085,0
,,1086,0
,,1087,0
,,1088,0
,,1089,0
,,1090,0
,,1091,0
,,1092,0
,,1093,0
,,1094,0
,,1095,0
,,1096,0
,,1097,0
,,1098,0
,,1099,0
,,1100,0
