Wavelength (nm),250584 %T (Unpolarized)
300,
300.5,
301,
301.5,
302,
302.5,
303,
303.5,
304,
304.5,
305,
305.5,
306,
306.5,
307,
307.5,
308,
308.5,
309,
309.5,
310,
310.5,
311,
311.5,
312,
312.5,
313,
313.5,
314,
314.5,
315,
315.5,
316,
316.5,
317,
317.5,
318,
318.5,
319,
319.5,
320,
320.5,
321,
321.5,
322,
322.5,
323,
323.5,
324,
324.5,
325,
325.5,
326,
326.5,
327,
327.5,
328,
328.5,
329,
329.5,
330,
330.5,
331,
331.5,
332,
332.5,
333,
333.5,
334,
334.5,
335,
335.5,
336,
336.5,
337,
337.5,
338,
338.5,
339,
339.5,
340,
340.5,
341,
341.5,
342,
342.5,
343,
343.5,
344,
344.5,
345,
345.5,
346,
346.5,
347,
347.5,
348,
348.5,
349,
349.5,
350,
350.5,
351,
351.5,
352,
352.5,
353,
353.5,
354,
354.5,
355,
355.5,
356,
356.5,
357,
357.5,
358,
358.5,
359,
359.5,
360,
360.5,
361,
361.5,
362,
362.5,
363,
363.5,
364,
364.5,
365,
365.5,
366,
366.5,
367,
367.5,
368,
368.5,
369,
369.5,
370,
370.5,
371,
371.5,
372,
372.5,
373,
373.5,
374,
374.5,
375,
375.5,
376,
376.5,
377,
377.5,
378,
378.5,
379,
379.5,
380,-6.95E+00
380.5,-2.45E+00
381,2.05E+00
381.5,5.93E+00
382,9.82E+00
382.5,8.86E+00
383,7.90E+00
383.5,1.37E+01
384,1.96E+01
384.5,1.98E+01
385,2.00E+01
385.5,1.26E+01
386,5.18E+00
386.5,2.91E+00
387,6.38E-01
387.5,4.16E-01
388,1.93E-01
388.5,2.19E-01
389,2.46E-01
389.5,2.12E-01
390,1.77E-01
390.5,2.53E-01
391,3.29E-01
391.5,2.31E+00
392,4.28E+00
392.5,2.73E+00
393,1.18E+00
393.5,1.26E+00
394,1.34E+00
394.5,2.54E+00
395,3.73E+00
395.5,2.90E+00
396,2.07E+00
396.5,3.62E+00
397,5.17E+00
397.5,3.69E+00
398,2.20E+00
398.5,1.66E+00
399,1.12E+00
399.5,6.16E-01
400,1.11E-01
400.5,5.16E-02
401,-8.03E-03
401.5,-9.82E-03
402,-1.16E-02
402.5,-9.08E-03
403,-6.56E-03
403.5,-3.68E-03
404,-8.09E-04
404.5,3.70E-03
405,8.22E-03
405.5,2.60E-03
406,-3.01E-03
406.5,-6.16E-03
407,-9.32E-03
407.5,-8.27E-03
408,-7.22E-03
408.5,2.59E-02
409,5.90E-02
409.5,6.81E-01
410,1.30E+00
410.5,1.21E+00
411,1.11E+00
411.5,2.14E+00
412,3.17E+00
412.5,1.44E+01
413,2.56E+01
413.5,3.01E+01
414,3.47E+01
414.5,3.68E+01
415,3.89E+01
415.5,4.21E+01
416,4.53E+01
416.5,5.00E+01
417,5.46E+01
417.5,6.49E+01
418,7.52E+01
418.5,7.84E+01
419,8.16E+01
419.5,8.57E+01
420,8.98E+01
420.5,9.14E+01
421,9.29E+01
421.5,9.39E+01
422,9.48E+01
422.5,9.52E+01
423,9.56E+01
423.5,9.58E+01
424,9.61E+01
424.5,9.64E+01
425,9.66E+01
425.5,9.62E+01
426,9.58E+01
426.5,9.56E+01
427,9.53E+01
427.5,9.58E+01
428,9.63E+01
428.5,9.67E+01
429,9.71E+01
429.5,9.69E+01
430,9.68E+01
430.5,9.61E+01
431,9.55E+01
431.5,9.51E+01
432,9.47E+01
432.5,9.48E+01
433,9.48E+01
433.5,9.50E+01
434,9.51E+01
434.5,9.51E+01
435,9.50E+01
435.5,9.51E+01
436,9.53E+01
436.5,9.56E+01
437,9.59E+01
437.5,9.61E+01
438,9.62E+01
438.5,9.62E+01
439,9.62E+01
439.5,9.63E+01
440,9.63E+01
440.5,9.63E+01
441,9.63E+01
441.5,9.65E+01
442,9.67E+01
442.5,9.71E+01
443,9.74E+01
443.5,9.77E+01
444,9.79E+01
444.5,9.74E+01
445,9.70E+01
445.5,9.59E+01
446,9.47E+01
446.5,9.38E+01
447,9.30E+01
447.5,9.30E+01
448,9.30E+01
448.5,9.38E+01
449,9.46E+01
449.5,9.53E+01
450,9.60E+01
450.5,9.63E+01
451,9.65E+01
451.5,9.64E+01
452,9.63E+01
452.5,9.63E+01
453,9.63E+01
453.5,9.62E+01
454,9.62E+01
454.5,9.58E+01
455,9.54E+01
455.5,9.47E+01
456,9.40E+01
456.5,9.37E+01
457,9.33E+01
457.5,9.36E+01
458,9.38E+01
458.5,9.47E+01
459,9.56E+01
459.5,9.66E+01
460,9.75E+01
460.5,9.76E+01
461,9.77E+01
461.5,9.69E+01
462,9.62E+01
462.5,9.54E+01
463,9.46E+01
463.5,9.42E+01
464,9.37E+01
464.5,9.42E+01
465,9.46E+01
465.5,9.55E+01
466,9.64E+01
466.5,9.70E+01
467,9.77E+01
467.5,9.77E+01
468,9.78E+01
468.5,9.76E+01
469,9.74E+01
469.5,9.72E+01
470,9.69E+01
470.5,9.66E+01
471,9.63E+01
471.5,9.59E+01
472,9.55E+01
472.5,9.55E+01
473,9.56E+01
473.5,9.62E+01
474,9.69E+01
474.5,9.74E+01
475,9.80E+01
475.5,9.78E+01
476,9.77E+01
476.5,9.69E+01
477,9.61E+01
477.5,9.18E+01
478,8.75E+01
478.5,7.68E+01
479,6.61E+01
479.5,5.51E+01
480,4.41E+01
480.5,3.36E+01
481,2.30E+01
481.5,1.69E+01
482,1.08E+01
482.5,8.00E+00
483,5.18E+00
483.5,3.96E+00
484,2.74E+00
484.5,2.19E+00
485,1.64E+00
485.5,1.42E+00
486,1.20E+00
486.5,1.06E+00
487,9.23E-01
487.5,8.61E-01
488,8.00E-01
488.5,7.97E-01
489,7.95E-01
489.5,8.39E-01
490,8.83E-01
490.5,9.92E-01
491,1.10E+00
491.5,1.33E+00
492,1.57E+00
492.5,2.09E+00
493,2.62E+00
493.5,4.00E+00
494,5.38E+00
494.5,8.65E+00
495,1.19E+01
495.5,1.89E+01
496,2.58E+01
496.5,3.40E+01
497,4.23E+01
497.5,4.49E+01
498,4.75E+01
498.5,4.79E+01
499,4.84E+01
499.5,5.39E+01
500,5.94E+01
500.5,7.10E+01
501,8.26E+01
501.5,8.64E+01
502,9.02E+01
