Wavelength (nm)	261354 %T (Unpolarized)
300	1.69E-04
300.5	1.09E-04
301	4.88E-05
301.5	7.37E-05
302	4.96E-05
302.5	7.33E-05
303	2.88E-05
303.5	5.99E-05
304	7.01E-05
304.5	9.60E-05
305	8.03E-05
305.5	7.94E-05
306	1.08E-04
306.5	9.40E-05
307	1.35E-04
307.5	5.29E-05
308	7.75E-05
308.5	4.15E-05
309	4.43E-05
309.5	1.19E-04
310	8.42E-05
310.5	9.85E-05
311	1.06E-04
311.5	1.19E-04
312	1.05E-04
312.5	6.45E-05
313	9.83E-05
313.5	4.67E-05
314	5.60E-05
314.5	5.38E-05
315	2.27E-05
315.5	8.61E-05
316	5.67E-05
316.5	6.94E-05
317	8.53E-05
317.5	3.65E-05
318	1.02E-04
318.5	9.61E-05
319	3.47E-05
319.5	3.04E-05
320	6.09E-05
320.5	2.04E-04
321	1.62E-04
321.5	1.28E-04
322	1.41E-04
322.5	6.09E-05
323	9.68E-05
323.5	1.81E-04
324	8.36E-05
324.5	2.33E-05
325	8.56E-05
325.5	1.46E-04
326	1.50E-04
326.5	1.05E-04
327	1.66E-04
327.5	4.14E-05
328	5.66E-05
328.5	8.77E-05
329	1.10E-04
329.5	5.22E-05
330	1.21E-04
330.5	1.19E-04
331	1.43E-04
331.5	8.52E-05
332	8.86E-05
332.5	1.62E-04
333	8.90E-05
333.5	1.23E-04
334	7.63E-05
334.5	1.29E-04
335	8.73E-05
335.5	1.04E-04
336	1.04E-04
336.5	5.84E-05
337	7.81E-05
337.5	7.95E-05
338	1.10E-04
338.5	1.04E-04
339	1.29E-04
339.5	1.32E-04
340	1.12E-04
340.5	1.03E-04
341	1.01E-04
341.5	1.28E-04
342	1.39E-04
342.5	7.61E-05
343	1.35E-04
343.5	1.31E-04
344	1.50E-04
344.5	1.51E-04
345	1.30E-04
345.5	6.24E-05
346	1.20E-04
346.5	1.32E-04
347	8.12E-05
347.5	1.14E-04
348	9.81E-05
348.5	1.34E-04
349	9.59E-05
349.5	9.00E-05
350	1.91E-05
350.5	1.40E-04
351	1.34E-04
351.5	8.51E-05
352	1.61E-04
352.5	1.28E-04
353	1.19E-04
353.5	1.05E-04
354	1.11E-04
354.5	1.20E-04
355	1.02E-04
355.5	1.06E-04
356	1.28E-04
356.5	1.21E-04
357	1.35E-04
357.5	9.44E-05
358	8.70E-05
358.5	3.94E-05
359	1.04E-04
359.5	8.01E-05
360	1.26E-04
360.5	8.44E-05
361	1.08E-04
361.5	1.17E-04
362	8.79E-05
362.5	9.28E-05
363	8.06E-05
363.5	6.63E-05
364	9.73E-05
364.5	8.91E-05
365	1.05E-04
365.5	6.79E-05
366	7.47E-05
366.5	5.69E-05
367	1.08E-04
367.5	1.03E-04
368	9.25E-05
368.5	9.58E-05
369	1.03E-04
369.5	7.06E-05
370	1.03E-04
370.5	7.38E-05
371	5.69E-05
371.5	6.05E-05
372	9.46E-05
372.5	7.50E-05
373	1.05E-04
373.5	8.47E-05
374	1.26E-04
374.5	1.03E-04
375	9.27E-05
375.5	5.73E-05
376	8.20E-05
376.5	7.99E-05
377	8.51E-05
377.5	1.10E-04
378	9.69E-05
378.5	9.74E-05
379	8.33E-05
379.5	9.96E-05
380	9.53E-05
380.5	6.84E-05
381	9.58E-05
381.5	7.41E-05
382	7.46E-05
382.5	1.09E-04
383	1.12E-04
383.5	3.06E-05
384	1.07E-04
384.5	1.84E-04
385	1.84E-04
385.5	1.26E-04
386	8.09E-05
386.5	8.60E-05
387	8.87E-05
387.5	6.62E-05
388	7.79E-05
388.5	5.70E-05
389	5.14E-05
389.5	8.45E-05
390	6.18E-05
390.5	6.03E-05
391	5.86E-05
391.5	8.65E-05
392	7.64E-05
392.5	7.81E-05
393	7.59E-05
393.5	7.54E-05
394	8.99E-05
394.5	7.18E-05
395	3.72E-05
395.5	5.81E-05
396	6.23E-05
396.5	8.65E-05
397	6.11E-05
397.5	6.84E-05
