Wavelength (nm),266910 %T (Unpolarized),,,,,
300,1.91E-04,,,,,
300.5,1.37E-04,,,,,
301,8.19E-05,,,,,
301.5,2.74E-05,,,,,
302,-2.71E-05,,,,,
302.5,-1.64E-05,,,,,
303,-5.72E-06,,,,,
303.5,-1.46E-04,,,,,
304,-2.85E-04,,,,,
304.5,-8.97E-05,,,,,
305,1.06E-04,,,,,
305.5,1.16E-04,,,,,
306,1.26E-04,,,,,
306.5,1.86E-05,,,,,
307,-8.86E-05,,,,,
307.5,-5.27E-05,,,,,
308,-1.69E-05,,,,,
308.5,-6.11E-05,,,,,
309,-1.05E-04,,,,,
309.5,-1.25E-04,,,,,
310,-1.45E-04,,,,,
310.5,-1.44E-04,,,,,
311,-1.44E-04,,,,,
311.5,-4.53E-05,,,,,
312,5.35E-05,,,,,
312.5,2.51E-05,,,,,
313,-3.38E-06,,,,,
313.5,-1.13E-05,,,,,
314,-1.92E-05,,,,,
314.5,3.63E-05,,,,,
315,9.18E-05,,,,,
315.5,4.64E-05,,,,,
316,1.02E-06,,,,,
316.5,4.73E-06,,,,,
317,8.44E-06,,,,,
317.5,2.18E-05,,,,,
318,3.52E-05,,,,,
318.5,2.73E-05,,,,,
319,1.94E-05,,,,,
319.5,-1.44E-06,,,,,
320,-2.23E-05,,,,,
320.5,-4.86E-05,,,,,
321,-7.49E-05,,,,,
321.5,-1.05E-04,,,,,
322,-1.35E-04,,,,,
322.5,-4.45E-05,,,,,
323,4.55E-05,,,,,
323.5,1.83E-05,,,,,
324,-8.90E-06,,,,,
324.5,1.48E-05,,,,,
325,3.85E-05,,,,,
325.5,1.03E-05,,,,,
326,-1.78E-05,,,,,
326.5,1.50E-05,,,,,
327,4.79E-05,,,,,
327.5,9.63E-06,,,,,
328,-2.86E-05,,,,,
328.5,9.13E-06,,,,,
329,4.69E-05,,,,,
329.5,-1.81E-05,,,,,
330,-8.31E-05,,,,,
330.5,-3.43E-05,,,,,
331,1.45E-05,,,,,
331.5,4.57E-05,,,,,
332,7.69E-05,,,,,
332.5,5.67E-05,,,,,
333,3.64E-05,,,,,
333.5,-6.87E-06,,,,,
334,-5.02E-05,,,,,
334.5,-3.29E-05,,,,,
335,-1.57E-05,,,,,
335.5,-2.49E-05,,,,,
336,-3.41E-05,,,,,
336.5,-1.11E-05,,,,,
337,1.20E-05,,,,,
337.5,4.41E-05,,,,,
338,7.63E-05,,,,,
338.5,9.24E-05,,,,,
339,1.08E-04,,,,,
339.5,8.98E-05,,,,,
340,7.10E-05,,,,,
340.5,4.53E-05,,,,,
341,1.96E-05,,,,,
341.5,2.29E-05,,,,,
342,2.62E-05,,,,,
342.5,2.98E-05,,,,,
343,3.33E-05,,,,,
343.5,3.52E-05,,,,,
344,3.70E-05,,,,,
344.5,4.43E-05,,,,,
345,5.16E-05,,,,,
345.5,6.82E-06,,,,,
346,-3.79E-05,,,,,
346.5,-8.70E-06,,,,,
347,2.05E-05,,,,,
347.5,5.40E-05,,,,,
348,8.75E-05,,,,,
348.5,5.08E-05,,,,,
349,1.41E-05,,,,,
349.5,2.73E-05,,,,,
350,4.04E-05,,,,,
350.5,5.05E-05,,,,,
351,6.07E-05,,,,,
351.5,6.18E-05,,,,,
352,6.30E-05,,,,,
352.5,6.77E-05,,,,,
353,7.25E-05,,,,,
353.5,3.85E-05,,,,,
354,4.53E-06,,,,,
354.5,2.48E-05,,,,,
355,4.51E-05,,,,,
355.5,1.64E-05,,,,,
356,-1.22E-05,,,,,
356.5,-1.68E-05,,,,,
357,-2.14E-05,,,,,
357.5,-5.25E-06,,,,,
358,1.08E-05,,,,,
358.5,-5.48E-06,,,,,
359,-2.18E-05,,,,,
359.5,8.99E-06,,,,,
360,3.98E-05,,,,,
360.5,1.77E-05,,,,,
361,-4.33E-06,,,,,
361.5,2.12E-05,,,,,
362,4.67E-05,,,,,
362.5,3.69E-05,,,,,
363,2.71E-05,,,,,
363.5,5.67E-05,,,,,
364,8.63E-05,,,,,
364.5,3.90E-05,,,,,
365,-8.32E-06,,,,,
365.5,7.20E-06,,,,,
366,2.27E-05,,,,,
366.5,1.54E-05,,,,,
367,8.01E-06,,,,,
367.5,1.45E-05,,,,,
368,2.10E-05,,,,,
368.5,3.05E-05,,,,,
369,4.00E-05,,,,,
369.5,1.22E-05,,,,,
370,-1.57E-05,,,,,
370.5,8.72E-06,,,,,
371,3.31E-05,,,,,
371.5,4.01E-05,,,,,
372,4.71E-05,,,,,
372.5,8.20E-06,,,,,
373,-3.07E-05,,,,,
373.5,5.55E-06,,,,,
374,4.18E-05,,,,,
374.5,8.09E-05,,,,,
375,1.20E-04,,,,,
375.5,1.57E-04,,,,,
376,1.93E-04,,,,,
376.5,4.50E-04,,,,,
377,7.06E-04,,,,,
377.5,1.23E-03,,,,,
378,1.76E-03,,,,,
378.5,4.17E-03,,,,,
379,6.59E-03,,,,,
379.5,9.05E-03,,,,,
380,1.15E-02,,,,,
380.5,2.48E-02,,,,,
381,3.81E-02,,,,,
381.5,1.09E-01,,,,,
382,1.80E-01,,,,,
382.5,5.46E-01,,,,,
383,9.12E-01,,,,,
383.5,2.92E+00,,,,,
384,4.93E+00,,,,,
384.5,9.17E+00,,,,,
385,1.34E+01,,,,,
385.5,1.55E+01,,,,,
386,1.76E+01,,,,,
386.5,2.78E+01,,,,,
387,3.80E+01,,,,,
387.5,4.19E+01,,,,,
388,4.58E+01,,,,,
388.5,5.03E+01,,,,,
389,5.48E+01,,,,,
389.5,5.93E+01,,,,,
390,6.37E+01,,,,,
390.5,6.85E+01,,,,,
391,7.33E+01,,,,,
